805,640,976,7543
289,438,69,5787
581,7979,214,1326
334,8264,852,6723
453,2100,432,2675
62,4671,664,7741
226,5422,243,8955
277,5140,632,5548
586,3930,119,6836
634,5259,259,5277
347,4126,551,7575
797,4512,366,6483
280,7597,327,8600
537,5163,981,4640
195,659,388,3459
90,2013,879,7774
867,1416,815,7615
368,4435,446,3759
648,4938,970,4252
770,3104,596,3298
753,7941,8,6886
51,9876,103,6639
740,8892,177,6673
480,2553,398,199
502,1118,619,8620
48,7425,738,1686
950,6420,601,1136
298,667,581,7219
558,8591,152,8752
754,8462,125,8044
241,9180,316,6281
179,3786,737,3917
278,2625,463,8784
269,251,970,7015
347,5071,994,6040
528,3031,899,6186
978,7695,98,8379
975,2748,418,4237
463,6855,907,542
806,4197,460,3730
151,4484,416,7263
140,5684,556,1765
817,4191,520,6920
241,7543,756,4971
81,3114,466,635
400,7140,161,4709
728,802,954,4101
870,5710,579,4044
188,2476,17,7901
600,3024,794,5172
702,3065,96,6771
369,1182,514,8123
454,9348,372,8611
217,1401,319,9144
625,752,524,2642
206,5337,537,7902
315,4364,126,893
102,9282,969,8088
573,8832,237,4510
515,8433,529,9548
839,2799,957,9272
781,5758,776,6474
486,4789,676,232
35,8314,163,8988
527,2952,699,4164
362,6431,333,3157
241,9481,19,5933
299,9669,735,5156
959,2609,752,4446
209,5688,919,9808
43,9574,745,5516
752,5364,821,299
444,7381,149,1125
63,6412,449,8000
520,7767,134,6195
166,7276,574,2134
82,8750,473,6968
944,5372,202,3388
324,7942,28,593
506,4157,699,3197
798,7190,559,9093
577,7611,258,2412
837,5183,683,2245
368,3371,283,2230
4,1225,893,6891
495,3532,627,3540
446,9354,899,2397
452,8536,888,312
849,2048,189,1256
46,993,20,6684
292,1571,285,5015
652,3366,578,2616
593,1126,727,139
849,3485,327,9067
163,8533,913,5810
571,1128,786,702
145,6822,907,3890
359,2162,163,5830
49,3850,168,6156
182,2881,335,625
221,1722,827,5211
59,9091,362,1861
784,6140,330,228
202,898,155,5221
338,8797,374,5366
322,7666,899,3037
407,2949,761,6297
460,4288,85,5251
292,6120,278,1648
153,9506,311,7910
562,4802,699,3272
862,427,103,368
624,9288,265,4873
307,4533,431,2678
140,5531,130,4193
231,118,986,7124
66,4837,330,3710
270,2670,387,402
499,1771,847,3474
891,8261,372,8948
479,9163,193,9278
381,5807,4,2675
339,1085,281,2938
645,3401,64,5111
339,2772,765,2168
310,2874,579,4046
569,9772,882,1878
676,6277,532,1795
147,1595,496,7130
341,7555,838,762
768,5569,370,4229
986,3099,347,6928
491,1497,387,2259
30,5308,944,9725
358,7864,953,2615
413,9535,501,2659
56,5883,844,7841
806,6343,369,6573
599,1498,703,7945
225,7298,809,3683
966,8121,478,9746
130,8455,257,6722
888,6163,70,5098
91,2903,17,6038
170,6751,169,6374
685,8301,81,8578
948,7149,606,3416
991,3376,188,9236
712,6071,268,2203
197,510,312,4339
25,3282,880,722
306,9232,732,2642
621,8364,649,5822
181,4891,881,8604
331,4109,251,2359
592,6874,393,5383
349,5848,536,6639
347,8374,939,9316
143,2089,64,245
61,8896,212,7930
221,3813,866,1709
227,2147,958,7551
328,6639,928,2569
382,2628,668,2801
705,1471,287,4117
961,5124,916,8055
596,5482,531,2836
937,6282,891,850
366,6495,871,5254
683,8506,460,6000
223,326,715,564
672,3906,449,7685
617,5952,859,4351
467,4650,351,1953
926,7788,774,4182
409,481,118,5791
413,733,428,7422
623,7748,135,6001
741,1606,447,2281
968,7336,635,7927
263,7872,106,5538
684,1133,210,3879
992,9808,45,7069
313,6459,577,1891
148,6996,62,5449
214,8885,90,8712
572,9284,624,2735
874,4890,736,2155
952,9811,767,8642
49,145,647,1404
533,5852,74,4542
391,1354,256,1108
384,9879,328,1226
426,8337,682,1320
185,9747,571,9128
867,4492,946,197
553,1403,151,7842
157,4714,611,1187
203,7124,667,2156
748,4915,94,6341
590,810,542,2982
175,7292,355,7109
424,408,507,9273
479,8498,750,6409
668,3438,13,2743
781,8427,490,6466
133,7082,539,8076
871,5066,176,2778
104,7170,492,5169
122,5818,425,9411
909,3318,132,3605
9,5391,287,7948
350,4688,797,2148
612,2554,616,2045
567,468,382,5922
842,5843,714,4023
932,7762,439,830
71,1342,352,7750
61,7825,346,1425
293,6649,411,6977
836,4372,19,542
887,202,576,9686
436,1590,529,49
409,5746,56,4016
228,4015,858,2050
793,6590,659,579
570,2590,482,3569
649,8578,564,3228
480,7358,716,9785
810,2734,144,1955
242,8979,670,4527
673,6827,542,1034
901,1996,881,8417
453,6348,103,2908
313,1104,615,5656
630,2031,15,369
944,403,387,1624
79,2283,194,7270
636,128,700,2653
557,5954,791,9367
724,1917,313,7214
158,7470,672,7959
543,1164,445,8588
802,1813,303,3796
166,9366,540,960
869,2870,538,1653
254,7311,900,8290
906,7626,192,7549
796,343,861,3390
297,278,594,6279
630,1493,497,7982
785,7350,226,2233
944,9227,252,2629
142,1265,566,8979
252,4311,260,688
420,7337,357,2495
816,8941,425,3141
169,633,880,8880
796,9487,646,1557
422,487,922,2389
297,6023,917,4347
830,2817,88,9684
146,8681,319,1819
510,8114,130,1137
174,6884,361,4438
939,9627,711,7974
